"plot","transectID","observation","species","layer","dbh","height","crownNS","crownEW","leafsample","distance","bearing","sampleheight","tree","ageclass","health","stagclass","hollows","hollowlocation","hollowheight","hollownum","hollowsize","flowering","ybgsigns","N","digN","Ndig_cv","DMD","DMD_cv","hollownumber","hollowsfix","hollowpres","meancrown","crown_area","ba","Fi","EFi","hollows_ha","GG","GG_no","elevation","slope","aspect","layers","foliagecover","density","ASC_O","ASC_SO","arboreal_count","arboreal_species","climate_gradient","mean_N","mean_digN","cond","AHMI","TWI250","NDVI","Fire250","soil_nitrate.nitrogen","soil_phosphorus.colwell","soil_potassium.colwell","soil_pH.CaCl2","soil_total.nitrogen","soil_total.carbon","obs","health_cat_fct","health_cat","health_cat_factor","layers_num","layer_num","ageclass_num","Fi_re","EFi_re","hollows_ha_re","transect","hollownumber_fix","hollows_ha_fix","hollowpres_fix"
"T3P3","T3","1","Eucalyptus delegatensis","Subcanopy",52,27,NA,NA,"No",NA,NA,NA,NA,"Regrowth","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,0,"Absent","0",NA,NA,0.2123992,530.929158456675,18.8349045079166,0,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,1,"Alive",1,"1",3,2,1,530.929158456675,18.8349045079166,0,"high-country",0,0,"0"
"T3P3","T3","2","Eucalyptus delegatensis","Canopy",66,36.5,NA,NA,"Yes",8.02,7,20,"T3P3Q1","Regrowth","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",1.6454,NA,NA,NA,NA,0,"Absent","0",NA,NA,0.3421638,855.298599939821,11.6918231839776,0,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,2,"Alive",1,"1",3,1,1,855.298599939821,11.6918231839776,0,"high-country",0,0,"0"
"T3P3","T3","3","Eucalyptus delegatensis","Canopy",65,41.5,NA,NA,"No",NA,NA,NA,NA,"Regrowth","Alive",NA,"Absent",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,0,"Absent","0",NA,NA,0.33187375,829.576810088555,12.0543388850666,0,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,3,"Alive",1,"1",3,1,1,829.576810088555,12.0543388850666,0,"high-country",0,0,"0"
"T3P3","T3","4","Eucalyptus delegatensis","Canopy",114,34,NA,NA,"No",NA,NA,NA,NA,"Mature ","Dead",4,"Absent",NA,NA,1,2,"No","No",NA,NA,NA,NA,NA,1,"Present","1",NA,NA,1.0208358,2551.75863287831,3.91886594255206,3.91886594255206,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,4,"Dead",3,"3",3,1,2,2551.75863287831,3.91886594255205,3.91886594255205,"high-country",1,3.91886594255206,"1"
"T3P3","T3","5","Eucalyptus delegatensis","Canopy",91,44,NA,NA,"No",NA,NA,NA,NA,"Mature ","Alive",NA,"Absent",NA,NA,1,2,"No","No",NA,NA,NA,NA,NA,1,"Present","1",NA,NA,0.65047255,1625.97054777357,6.1501729005442,6.1501729005442,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,5,"Alive",1,"1",3,1,2,1625.97054777357,6.1501729005442,6.1501729005442,"high-country",1,6.1501729005442,"1"
"T3P3","T3","6","Eucalyptus delegatensis","Canopy",77,39,NA,NA,"Yes",10.75,118,17,"T3P3Q2","Regrowth","Alive",NA,"Absent",NA,NA,1,2,"No","No",1.6473,NA,NA,NA,NA,1,"Present","1",NA,NA,0.46572295,1164.15642769587,8.58991091067744,8.58991091067744,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,6,"Alive",1,"1",3,1,1,1164.15642769587,8.58991091067744,8.58991091067744,"high-country",1,8.58991091067744,"1"
"T3P3","T3","7","Eucalyptus nitens","Canopy",111,52,NA,NA,"Yes",17.9,163,18,"T3P3Q5","Mature ","Alive",NA,"Potential ",2,NA,1,2,"No","No",1.4915,NA,NA,NA,NA,1,"Potential ","2",NA,NA,0.96781455,2419.22269280499,4.13355910960202,4.13355910960202,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,7,"Alive",1,"1",3,1,2,2419.22269280499,4.13355910960202,4.13355910960202,"high-country",0,0,"0"
"T3P3","T3","8","Eucalyptus delegatensis","Canopy",120,46,NA,NA,"No",NA,NA,NA,NA,"Mature ","Alive",NA,"Absent",NA,NA,1,2,"No","No",NA,NA,NA,NA,NA,1,"Present","1",NA,NA,1.13112,2827.43338823081,3.53677651315323,3.53677651315323,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,8,"Alive",1,"1",3,1,2,2827.43338823081,3.53677651315323,3.53677651315323,"high-country",1,3.53677651315323,"1"
"T3P3","T3","9","Eucalyptus delegatensis","Subcanopy",109,29,NA,NA,"No",NA,NA,NA,NA,"Stag","Dead",5,"Present",2,48,1,4,"No","No",NA,NA,NA,NA,NA,1,"Present","1",NA,NA,0.93325255,2332.82889483127,4.28664100575764,4.28664100575764,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,9,"Dead",3,"3",3,2,5,2332.82889483127,4.28664100575764,4.28664100575764,"high-country",1,4.28664100575764,"1"
"T3P3","T3","10","Eucalyptus delegatensis","Canopy",216,53,NA,NA,"Yes",38.2,258,NA,NA,"Over-mature","Alive",NA,"Present",2,NA,3,4,"No","No",NA,NA,NA,NA,NA,3,"Present","1",NA,NA,3.6648288,9160.88417786784,1.09159768924482,3.27479306773447,0,0,1185,5,345,"3",30,"Medium","DE","AA",22,2,0.777043223381042,1.57832,NA,4961,20.3885973390398,6.49304,8812,0,"8",14,252,4.2,0.76,12.32,10,"Alive",1,"1",3,1,3,9160.88417786784,1.09159768924482,3.27479306773447,"high-country",3,3.27479306773447,"1"
