"Site.Name","observer","observer_no","date","obs_time","phone_location","species","waypoint_ID","x_observer","y_observer","left_or_right","transect_bearing","right_angle","bearing_to_animal","distance_to_animal","distance_on_transect","obs_type","color_morph","behavior","tree_species","n_animals","comments","seen_by_obs1","seen_by_obs2","seen_by_both","TAXON_ID","SCIENTIFIC_NAME","X-coordinate (easting or longitude)","Y-coordinate (easting or longitude)","obs_n"
"ARI BBRR 20","CS",1,"24/08/2022","20:42:00","-37.3148783,148.998425","Sugar Glider","aribrr20cs2","",NA,"left",210,"Yes",180,22,500,"s","grey","idle","Eucalyptus sieberiana ",1,"",1,0,NA,11138,"Petaurus breviceps",148.998425,37.3148783,1
"ARI BBRR 20","BW",2,"24/08/2022","20:34:00","-37.3136817,148.9978083","Southern Greater Glider","ARI 20 BW 3","37.313575",148.998039,"right",160,"No",175,29,336,"s","brown","idle","Eucalyptus sieberi ",1,"",1,1,1,11133,"Petauroides volans",148.9978083,37.3136817,2
"ARI BBRR 20","BW",2,"24/08/2022","20:29:00","-37.3133833,148.998025","Southern Greater Glider","ARI 20 BW 2","37.313428",148.998028,"right",160,"Yes",NA,11.1,314,"s","brown","idle","Eucalyptus sieberi ",1,"",1,1,1,11133,"Petauroides volans",148.998025,37.3133833,3
"ARI BBRR 20","CS",1,"24/08/2022","20:15:00","-37.313275,148.99802","Southern Greater Glider","aribrr20cs2","37.313173",148.997978,"right",210,"No",180,13.8,244,"s","grey","idle","Eucalyptus sieberiana ",1,"",1,1,1,11133,"Petauroides volans",148.99802,37.313275,4
"ARI BBRR 20","CS",1,"24/08/2022","20:15:00","-37.3129767,148.99796","Southern Greater Glider","aribrr20cs1","37.313034",148.997961,"right",210,"Yes",NA,69.8,226,"s","grey","idle","Eucalyptus sieberiana ",1,"",1,1,1,11133,"Petauroides volans",148.99796,37.3129767,5
"ARI BBRR 20","BW",2,"24/08/2022","20:05:00","-37.3123017,148.997235","Southern Greater Glider","ARI 20 BW","37.312272",148.997193,"right",90,"Yes",NA,20.6,113,"s","black","moving","Eucalyptus denticulata ",1,"",1,0,NA,11133,"Petauroides volans",148.997235,37.3123017,6
"ARI BBRR 26","CS",2,"22/08/2022","22:30:00","-37.2046683,148.9658417","Southern Greater Glider","Ari 26bw3","37.204679",148.965477,"left",46,"Yes",NA,55,485,"s","black","idle","eucalyptus ",1,"",1,0,NA,11133,"Petauroides volans",148.9658417,37.2046683,7
"ARI BBRR 26","CS",2,"22/08/2022","22:26:00","-37.2038083,148.9672533","Mountain Brush-tailed Possum","","",NA,"right",46,"Yes",NA,440,100,"h","brown","idle","",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.9672533,37.2038083,8
"ARI BBRR 26","CS",2,"22/08/2022","22:19:00","-37.2051367,148.9643533","Southern Greater Glider","Ari 26bw2","37.20524",148.964311,"left",46,"Yes",NA,19.1,355,"s","brown","idle","eucalyptus croajingolensis ",2,"",1,1,1,11133,"Petauroides volans",148.9643533,37.2051367,9
"ARI BBRR 26","JS",1,"22/08/2022","22:03:00"," -37.2076283,148.9625217","Southern Greater Glider","","37.205273",148.964148,"left",45,"No",5,18.6,360,"s","black","idle","",2,"",1,1,1,11133,"Petauroides volans",148.9625217,37.2076283,10
"ARI BBRR 26","CS",2,"22/08/2022","21:30:00","-37.2074883,148.962435","Southern Greater Glider","Ari 26bw1","37.207573",148.962663,"right",350,"Yes",NA,30.3,25,"s","brown","idle","Eucalyptus denticulata ",1,"",1,0,NA,11133,"Petauroides volans",148.962435,37.2074883,11
"ARI BBRR 26","JS",1,"22/08/2022","21:18:00"," -37.2076283,148.9625217","Sugar Glider","","",NA,"left",350,"Yes",NA,NA,12,"s","grey","moving","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",148.9625217,37.2076283,12
"ARI BBRR 26","JS",1,"22/08/2022","21:13:00","-37.207575,148.9622267","Domestic Cat (feral)","","",NA,"right",350,"Yes",NA,NA,0,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11536,"Felis catus",148.9622267,37.207575,13
"ARI BBRR 35","CS",1,"22/08/2022","19:06:00","-37.18222,148.9853533","Mountain Brush-tailed Possum","","",NA,"left",110,"Yes",NA,57.9,350,"s","grey","idle","ground",2,"",1,0,NA,11115,"Trichosurus cunninghami",148.9853533,37.18222,14
"ARI BBRR 35","JS",2,"22/08/2022","19:11:00","-37.1822583,148.982685","Sugar Glider","","",NA,"left",110,"Yes",NA,34.6,23,"s","grey","moving","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",148.982685,37.1822583,15
"ARI BBRR 35","CS",1,"22/08/2022","19:06:00","-37.1823333,148.983395","Sugar Glider","","",NA,"right",110,"Yes",NA,21.8,55,"s","grey","idle","Eucalyptus croajingolensis ",1,"",1,0,NA,11138,"Petaurus breviceps",148.983395,37.1823333,16
"T3P1","BW",2,"21/08/2022","21:27:00","-37.2530667,148.8472817","Mountain Brush-tailed Possum","","",NA,"left",308,"Yes",NA,23,304,"s","grey","idle","Acacia dealbata ",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.8472817,37.2530667,17
"T3P1","BW",2,"21/08/2022","21:27:00","-37.253475,148.8476683","Sugar Glider","","",NA,"left",308,"Yes",NA,15,225,"s","grey","idle","Eucalyptus ",1,"gliding ",1,0,NA,11138,"Petaurus breviceps",148.8476683,37.253475,18
