observers,transectID,plotID,date,species,observation,comments,count,waypoint,location,Side of transect,distance,bearing,tree,height,photo number
"BW, TW",T3,4,08-05-18 18:43,Mt brushtail possum,Visual,,1,SLT3P4 1,"-37.2766432,148.8970925",Left,8,60,Acacia dealbata,12,
"BW, TW",T3,4,08-05-18 18:46,Sugar glider,Visual,,2,SLT3P4 2,"-37.2760935,148.8999062",Left,12,233,E. nitens,20,
"BW, TW",T3,4,08-05-18 19:31,Mt brushtail possum,Visual,,1,SLT3P4 3,"-37.2766128,148.8972283",Left,17,185,Pittosporum bicolor ,15,
"BW, TW",T3,4,08-05-18 19:52,Mt brushtail possum,Visual,,2,SLT3P4 4,"-37.2778943,148.8933421",Left,29,215,Acacia dealbata ,15,
"BW, TW",T3,4,08-05-18 19:54,Mt brushtail possum,Vocal ,,1,SLT3P4 4,"-37.2778626,148.8933926",Right,,,,,
"BW, TW",T3,4,08-05-18 19:54,Masked owl,Vocal ,,1,,,Right,,,,,
"BW, TW",T3,4,08-05-18 19:54,Powerful owl,Vocal ,,1,,,Left,,,,,
"BW, TW",T3,3,09-05-18 18:42,Mt brushtail possum,Visual,,1,SLT3P2 2,"-37.2745802,148.8825007",Left,12,5,E. croagingalensis ,10,
"BW, TW",T3,3,09-05-18 18:36,Mt brushtail possum,Visual,,1,SLT3P2 1,,Right,8,133,ground ,,
"BW, TW",T3,3,09-05-18 18:47,Mt brushtail possum,Visual,,1,SLT3P2 2,"-37.2745802,148.8825007",Left,15,330,Acacia dealbata ,12,
"BW, TW",T3,3,09-05-18 18:52,Mt brushtail possum,Visual,,2,SLT3P2 3,"-37.2738305,148.8833338",Right,15,55,Acacia dealbata ,5,
"BW, TW",T3,3,09-05-18 18:55,Sooty owl,Vocal ,,1,,"-37.2737113,148.8833276",Left,,,,,
"BW, TW",T3,3,09-05-18 18:56,Mt brushtail possum,Visual,,1,SLT3P2 3,"-37.2735023,148.8835783",Right,13,35,Acacia dealbata ,19,
"BW, TW",T3,3,09-05-18 19:22,Mt brushtail possum,Visual,,1,SLT3P2 4,"-37.2706241,148.883545",Right,34,247,Acacia dealbata ,13,
"BW, TW",T3,3,09-05-18 19:44,Mt brushtail possum,Visual,,1,SLT3P2 5,"-37.2686284,148.8821776",Right,20,50,E. croagingalensis ,18,
"BW, TW",T3,3,09-05-18 19:54,Mt brushtail possum,Visual,,1,SLT3P2 6,"-37.2675156,148.8812786",Right,35,315,Acacia dealbata ,18,
BW,T3,1,13-06-18 18:22,Greater Glider,Visual,black,1,T3P1 1,"-37.2528875,148.848509, -37.252765,148.8486822",Left,21,210,E. croagingalensis ,30,
BW,T3,1,13-06-18 18:35,Greater Glider,Visual,black,1,T3P1 2,"-37.2528097,148.8484607",Left,15,160,E. viminalis ,25,
BW,T3,1,13-06-18 18:55,Greater Glider,Visual,black,1,T3P1 3,"-37.2525288,148.8468819",Left,10,210,E. viminalis ,30,
