"site_ID","sampling_point","quarter","treeID","species","dead_alive","burnt","charring","distance","bearing","dbh","height","crown_NS","crown_EW","layer","age_class","hollows","hollow_num","hollow_height","hollow_size","ybg_signs","reproductive","leaf_sample","epicormic_sample","bag_ID","comments","plot","gg_pres","n_gg","firesev","elevation","aspect","slope","mid_understory_density","layers","foliagecover","c","total_n","AHMI","cond","et0","hn","rain","vpd","FT","ph","slope.1","TWI","fires","NDVI","climsuit","ASC_O","ASC_SO","x","y","Colour","Gravel","Texture","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Sulfur","Organic.Carbon","Conductivity","pH.Level..CaCl2.","pH.Level..H2O.","DTPA.Copper","DTPA.Iron","DTPA.Manganese","DTPA.Zinc","Exc..Aluminium","Exc..Calcium","Exc..Magnesium","Exc..Potassium","Exc..Sodium","Boron.Hot.CaCl2","Total.Nitrogen","Total.Carbon","mean_leaf_n","mean_leaf_c"
"G3F0",10,4,"d17","unknown","D","burnt","light",3,29.9,12.1,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",10,4,"40","Acacia dealbata","A","unburnt","",3.5,80,35.7,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",10,1,"37","Eucalyptus consideniana","A","burnt","light",8.3,178,88.7,NA,NA,NA,"canopy","mature","present",1,0,"<5cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",10,2,"38","Eucalyptus denticulata","A","burnt","light",13.3,221,109.1,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",10,3,"39","Eucalyptus fastigata","A","burnt","light",3.3,301,54.3,30.5,5.8,15.6,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",9,3,"35","Eucalyptus denticulata","A","burnt","light",8.8,0,66.5,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","yes","yes","g3f0 tree35 e.denticulata 5","leaves juvenile ","G3F0",0,0,3,930,40,10,"high",1,70,50.9,1.87,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",9,4,"d16","unknown","D","unburnt","",3.7,111,22.4,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",9,4,"36","Eucalyptus consideniana","A","burnt","light",6.8,95,83,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",9,1,"33","Eucalyptus consideniana","A","burnt","light",13.3,131,57.5,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",9,1,"d15","unknown","D","burnt","deep",7.5,158,155.6,NA,NA,NA,"canopy","stag","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
